#nome,classe,regiao,ano de lançamento,pickrate em %;
40
172
Taliyah,Mago,Shurima,2016,4.05;
Talon,Assassino,Noxus,2011,5.19;
Taric,Suporte,Targon,2009,1.48;
Teemo,Atirador,Bandópolis,2009,4.97;
Thresh,Suporte,Ilhas das Sombras,2013,12.60;
Tristana,Atirador,Bandópolis,2009,7.48;
Trundle,Lutador,Freljord,2010,2.51;
Tryndamere,Lutador,Freljord,2009,3.82;
Twisted Fate,Mago,Águas de Sentina,2009,4.55;
Twitch,Atirador,Zaun,2009,5.48;
Udyr,Lutador,Freljord,2009,3.22;
Urgot,Lutador,Zaun,2010,2.47;
Varus,Atirador,Ionia,2012,6.46;
Vayne,Atirador,Demacia,2011,8.98;
Veigar,Mago,Bandópolis,2009,3.43;
Vel'Koz,Mago,Vazio,2014,2.12;
Vex,Mago,Ilhas das Sombras,2021,2.56;
Vi,Lutador,Piltover,2012,5.51;
Viego,Assassino,Ilhas das Sombras,2021,9.48;
Viktor,Mago,Zaun,2011,8.76;
Vladimir,Mago,Noxus,2010,4.49;
Volibear,Lutador,Freljord,2011,5.53;
Warwick,Lutador,Zaun,2009,2.97;
Wukong,Lutador,Ionia,2011,2.52;
Xayah,Atirador,Ionia,2017,4.83;
Xerath,Mago,Shurima,2011,5.76;
Xin Zhao,Lutador,Demacia,2010,8.01;
Yasuo,Lutador,Ionia,2013,7.57;
Yone,Assassino,Ionia,2020,5.33;
Yorick,Lutador,Ilhas das Sombras,2011,2.49;
Yunara,Lutador,Ixtal,2025,4.21;
Yuumi,Suporte,Bandópolis,2019,5.03;
Zaahen,Lutador,Runeterra,2025,2.1;
Zac,Tanque,Zaun,2013,4.52;
Zed,Assassino,Ionia,2012,9.44;
Zeri,Atirador,Zaun,2022,5.48;
Ziggs,Mago,Zaun,2012,2.53;
Zilean,Suporte,Icatia,2009,2.87;
Zoe,Mago,Targon,2017,3.08;
Zyra,Mago,Ixtal,2012,4.54;

